NAME,A,Period,Eccentricity,OM,PLANETDISCMETH,Mass,Gravity,R,Rstar
Kepler-107 d,0.0780099,7.958203,,90,Transit,0.00371234,,0.095459,1.411
Kepler-427 b,0.091351,10.290994,0,90,Transit,0.29,2.73021,1.23,1.35
WASP-14 b,0.0367693,2.243752,0.091,253.371,Transit,7.69234,4.06276,1.281,1.31
Kepler-50 b,0.0825598,7.8125124,,,Transit,0.0164915,,0.196096,1.88
NN Ser d,3.70596,2605,0.05,152,Timing,0.642621,,,
Kepler-20 b,0.0453704,3.6961219,0,79.2157,Transit,0.0266646,3.35915,0.170247,0.944
HAT-P-27 b,0.0399488,3.039577,0,90,Transit,0.617485,3.1761,1.02,0.87
Kepler-181 b,0.0419466,3.137873,,90,Transit,0.00674351,,0.113302,0.749
HD 116029 b,1.64869,670,0,40,RV,1.9075,,,5.04235
Kepler-207 b,0.0269045,1.611865,,90,Transit,0.0117295,,0.140066,1.588
HD 219828 b,0.0515012,3.8334999,0,0,RV,0.0622185,0,,1.4682
Kepler-11 c,0.106909,13.0241,0.0256125,51.3402,Transit,0.00912437,,0.255816,1.065
HD 1237 b,0.494668,133.71001,0.511,290.7,RV,3.3748,0,,0.858011
WASP-21 b,0.0521087,4.322482,0,90,Transit,0.300272,2.81252,1.07,1.06
Kepler-284 c,0.219317,37.514456,,90,Transit,0.0210192,,0.232849,0.814
Kepler-186 c,0.0574114,7.267302,0.03,270,Transit,0.00636705,,0.111418,0.472
HD 4308 b,0.119192,15.56,0,359,RV,0.0477376,0,,0.82259
Kepler-239 b,0.101225,11.763051,,90,Transit,0.0177874,,0.207869,0.763
Kepler-174 b,0.113583,13.98179,,90,Transit,0.014454,,0.174859,0.622
Kepler-440 b,0.353207,101.11141,0,90,Transit,0.0136945,,0.165939,0.559
Kepler-224 d,0.0988375,11.349393,,90,Transit,0.0174811,,0.205192,0.676
Kepler-389 c,0.116434,14.51143,,90,Transit,0.0107805,,0.130252,0.792
Kepler-254 c,0.104915,12.412183,,90,Transit,0.0160511,,0.19181,0.91
Kepler-236 c,0.162691,23.968127,,90,Transit,0.0147725,,0.178428,0.51
WASP-25 b,0.0473714,3.764825,0,90,Transit,0.57847,2.98271,1.22,0.92
Kepler-186 d,0.0860831,13.342996,0.03,270,Transit,0.00934866,,0.12479,0.472
HD 24040 b,4.92406,3668,0.04,154,RV,4.02189,0,,1.15444
Kepler-359 c,0.292189,57.68802,,90,Transit,0.0607789,,0.38362,1.086
Kepler-211 c,0.0649112,6.04045,,90,Transit,0.00711292,,0.115086,0.816
Kepler-294 c,0.0690438,6.6264,,90,Transit,0.0223552,,0.24177,0.976
Kepler-263 c,0.256083,47.332773,,90,Transit,0.019315,,0.220359,0.785
Kepler-349 b,0.0641159,5.929778,,90,Transit,0.0139923,,0.169507,0.927
HD 200964 b,1.64347,613.8,0.04,288,RV,1.94873,,,3.80029
HD 147018 b,0.238855,44.236,0.4686,335.97,RV,2.12711,0,,1.05268
HD 218566 b,0.687282,225.7,0.3,36,RV,0.212872,,,0.590728
HD 45364 b,0.68156,226.93,0.1684,162.58,RV,0.187149,0,,1.02464
Kepler-361 b,0.081426,8.486616,,90,Transit,0.010538,,0.12936,1.343
Kepler-318 c,0.101523,11.815007,,90,Transit,0.0419521,,0.328308,1.189
Kepler-372 b,0.0705863,6.849692,,90,Transit,0.00850717,,0.121331,1.137
Kepler-197 e,0.168262,25.209715,,90,Transit,0.00208313,,0.0811848,1.12
HD 141937 b,1.50087,653.21997,0.41,187.72,RV,9.4752,0,,1.06384
Kepler-405 c,0.187804,29.726682,,90,Transit,0.071727,,0.415737,0.893
Kepler-104 d,0.271796,51.755394,,90,Transit,0.0392746,,0.319386,1.349
Kepler-26 d,0.0454914,3.543919,,90,Transit,0.00371234,,0.095459,0.571
Kepler-159 b,0.0916828,10.139623,,90,Transit,0.0183139,,0.212329,0.663
HD 156668 b,0.0499846,4.6455,0,90,RV,0.0130582,,,0.728691
MOA-2009-BLG-387L b,1.76808,1970,,,Microlensing,2.6,,,
Kepler-32 f,0.0130732,0.74296,0,90,Transit,0.00143611,,0.0730903,0.53
WASP-103 b,0.0198682,0.925542,0,90,Transit,1.48791,3.20075,1.528,1.436
Kepler-221 e,0.136253,18.369917,,90,Transit,0.0212781,,0.234633,0.821
Kepler-256 c,0.0441473,3.38802,,90,Transit,0.0160511,,0.19181,1.301
GJ 649 b,1.13179,598.3,0.3,352,RV,0.325341,,,
Kepler-276 b,0.114376,14.12841,,90,Transit,0.0247188,,0.256044,1.046
Kepler-264 c,0.52792,140.101261,,90,Transit,0.0241007,,0.252476,1.55
HD 132406 b,1.98227,974,0.34,214,RV,5.60495,0,,
Kepler-143 b,0.124306,16.007583,,90,Transit,0.0186399,,0.215006,1.359
Kepler-189 c,0.144846,20.134866,,90,Transit,0.0183139,,0.212329,0.75
HD 38529 c,3.6002,2146.0503,0.355094,17.9023,RV,12.2603,0,,2.02418
Kepler-62 b,0.0552794,5.714932,0.0707107,278.13,Transit,0,,0.116766,0.64
Kepler-281 b,0.117153,14.646008,,90,Transit,0.0239491,,0.251584,0.899
Kepler-196 c,0.256426,47.427737,,90,Transit,0.0168894,,0.199839,0.782
Kepler-238 c,0.0657332,6.155557,,90,Transit,0.0184218,,0.213222,1.43
Kepler-49 c,0.07889,10.9129343,,,Transit,0.0202381,,0.227293,0.53
Kepler-55 c,0.202122,42.1516418,,,Transit,0.016585,,0.196987,0.58
WASP-19 b,0.0163152,0.78884,0.0046,3,Transit,1.13339,3.16909,1.386,0.99
